Source title,Type,Conf_or_Jour_Area
"ASEE Annual Conference and Exposition, Conference Proceedings",Conference,Databases; Machine learning; Natural language processing; Coal combustion; Design; Coal
Geotechnical Special Publication,Journal,Databases; Article; priority journal; Heat radiation
IEEE Transactions on Antennas and Propagation,Journal,Databases; Natural language processing; Machine learning; Students; Computation theory; Teaching
IEEE Transactions on Nuclear Science,Journal,Degrees of freedom (mechanics); Friction; Natural language processing; Antennas
International Journal of Heat and Mass Transfer,Journal,Databases; Machine learning; Product design; Natural language processing; Design; Field programmable gate arrays (FPGA)
Optics InfoBase Conference Papers,Conference,Databases; Natural language processing; Machine learning; Product design; Article; Unmanned aerial vehicles (UAV)
Proceedings of SPIE - The International Society for Optical Engineering,Conference,Databases; Machine learning; Natural language processing; cell free system; Computer aided design; Research laboratories
Proceedings of the ASME Design Engineering Technical Conference,Conference,Databases; Machine learning; Design; Antennas; Surveys
Proceedings of the International Telemetering Conference,Conference,Machine learning; Thin films; Product design; Economic and social effects
