Volume,Num_of_Pages
146,74
14,44
122,34
270,58
178,85
265,79
185,45
56,14
7,28
68,41
2020-July,65
67,81
2020-May,73
142,15
45,81
9,59
72,10
3,13
2020-March,75
150,43
303,74
4,65
147,80
244,80
1 PartF,72
58,29
2674,28
5,67
143,72
19,59
69,24
109,33
66,72
29,64
2019-November,87
28,88
2019-October,83
145,18
82,17
140,31
77,91
2019-September,32
2,95
23,61
123,38
174,25
2019-July,54
137,75
11,33
164,55
155,76
182,69
62,92
349,86
20,34
36,98
55,67
27,40
141,37
57,88
24,46
129,45
100,56
35,40
10,44
190,24
Part F144-FiO 2019,32
2019-August,39
5B-2019,20
42,81
10932,86
8,76
153,64
191,44
74,29
Part F162-OIC 2019,69
85,59
112,86
Part F129-CLEO_SI 2019,49
2019-May,44
31,68
126,26
2018-August,12
124,26
88,13
160,95
2018-June,23
121,75
17,41
335,49
65,98
70,82
154,99
2018-April,69
333,18
15,51
2018-January,36
255,37
710,22
2018,97
64,81
119,79
Part F114-FIO 2018,29
6,19
5B-2018,43
2A-2018,26
32,77
10769,36
162,89
0,57
2017-November,83
Part F92-CLEO_AT 2018,88
34,23
2018-March,96
50,43
47,52
43,71
1,57
Part F8,32
10652,43
2017-September,93
25,58
114,61
99,21
16,59
110,22
2017-June,80
319,61
53,84
Part F127194,78
13,71
5B-2017,89
103,13
2636,76
WS-17-01 - WS-17-15,38
2017-March,86
133,62
Part F43-CLEO_AT 2017,91
Part F41-CLEO_SI 2017,25
41,68
352,65
2017-April,90
2B-2017,56
